"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.51541374034133,0.88,0.241,0,"0","Ormdl3"
0,2.31766090246967,0.861,0.224,0,"0","Ift43"
0,3.14447508194459,1,0.366,0,"0","Omp"
0,3.09446391636916,0.743,0.109,0,"0","Cacnb3"
0,3.02707600599517,0.734,0.103,0,"0","Pex5l"
0,1.95107317508889,0.817,0.186,0,"0","Homer2"
0,2.39894308931789,0.834,0.204,0,"0","Endod1"
0,2.85281694668405,0.732,0.105,0,"0","Enkur"
0,3.14148152970276,0.724,0.099,0,"0","Nat14"
0,2.22151395787803,0.839,0.214,0,"0","Faim"
0,2.75716594652071,0.758,0.133,0,"0","Rsph9"
0,2.8595653418765,0.734,0.111,0,"0","Rd3"
0,1.88651525976982,0.763,0.14,0,"0","Tubb3"
0,2.06051298975551,0.855,0.232,0,"0","Ptp4a3"
0,2.27470098305248,0.907,0.284,0,"0","Arl3"
0,2.77795337826738,0.75,0.128,0,"0","Pygo1"
0,2.25925890471499,0.828,0.206,0,"0","Ahi1"
0,3.06782397065622,0.72,0.1,0,"0","Tstd1"
0,2.87697714307835,0.729,0.11,0,"0","Slc24a2"
0,2.75040128549317,0.734,0.115,0,"0","Ppp1r14c"
0,3.42118930691367,1,0.382,0,"0","Stoml3"
0,2.04618153566705,0.954,0.336,0,"0","Mgst3"
0,2.43218646112464,0.796,0.179,0,"0","Ift74"
0,2.92830406239798,0.724,0.108,0,"0","BC049352"
0,2.83599681251827,0.719,0.103,0,"0","Efcab10"
0,2.59682393230985,0.761,0.146,0,"0","Traf3ip1"
0,2.92574570954936,0.72,0.105,0,"0","Zfp385b"
0,0.860124088003775,0.762,0.148,0,"0","Stmn2"
0,3.21021746067693,0.7,0.087,0,"0","Ephx4"
0,2.45234861829615,0.98,0.367,0,"0","Myo6"
0,2.42884420706343,0.779,0.166,0,"0","Pkib"
0,2.33716648992217,0.771,0.159,0,"0","Ncapg2"
0,2.41574791983775,0.804,0.194,0,"0","Mycbp"
0,1.98206049710827,0.838,0.229,0,"0","Prxl2a"
0,2.59262496438606,0.738,0.131,0,"0","Spa17"
0,3.21377050782493,0.689,0.083,0,"0","A730046J19Rik"
0,3.20919907170641,0.692,0.087,0,"0","Gadl1"
0,2.86731775017217,0.726,0.122,0,"0","Fam13a"
0,2.85634646878446,0.714,0.112,0,"0","Tarsl2"
0,2.08488979859684,0.97,0.368,0,"0","Cystm1"
0,2.23166346526339,0.871,0.271,0,"0","Dnajb14"
0,2.21260101696025,0.81,0.211,0,"0","Kifap3"
0,1.98600813353909,0.899,0.3,0,"0","Camk2d"
0,2.28872746631357,0.803,0.205,0,"0","Ssx2ip"
0,2.94376743283864,0.691,0.094,0,"0","Pifo"
0,2.93934610708742,0.704,0.107,0,"0","Elmod3"
0,3.09440076152334,1,0.403,0,"0","Gng13"
0,2.46254060204101,0.763,0.167,0,"0","Agtpbp1"
0,2.6196466045823,0.716,0.121,0,"0","Kif1a"
0,2.78247667986158,0.725,0.132,0,"0","Rnf128"
0,2.2634297339196,0.755,0.163,0,"0","Gnao1"
0,2.84184749975077,0.693,0.102,0,"0","Stmn4"
0,2.53961471081484,0.967,0.377,0,"0","Cmip"
0,2.57055354080588,0.714,0.125,0,"0","Cplx2"
0,2.85525800040654,0.695,0.107,0,"0","Scg5"
0,2.45902372756498,0.709,0.121,0,"0","Snca"
0,2.72940182887324,0.721,0.134,0,"0","Abca5"
0,2.91442959202656,0.685,0.099,0,"0","Ttc21a"
0,3.18617418540352,0.673,0.09,0,"0","Nxph3"
0,1.93037465352308,0.919,0.337,0,"0","Strbp"
0,2.6657348640577,0.686,0.104,0,"0","1110017D15Rik"
0,2.87846064466738,0.684,0.105,0,"0","Fmn2"
0,2.88768435944436,0.679,0.102,0,"0","AC109619.1"
0,2.62778209176373,0.699,0.124,0,"0","Ppp1r1a"
0,2.24911871105708,0.778,0.204,0,"0","Cep290"
0,2.90435616568563,0.676,0.103,0,"0","Spef1"
0,1.93007021208819,0.896,0.323,0,"0","Clstn1"
0,1.94997326794358,0.888,0.316,0,"0","Tspan3"
0,2.83582016061057,0.679,0.107,0,"0","Rundc3a"
0,2.4943048421306,0.728,0.157,0,"0","Wdsub1"
0,2.95959107909998,0.669,0.099,0,"0","Pak3"
0,2.60504965909429,0.691,0.121,0,"0","Pkia"
0,1.93285621336077,0.898,0.329,0,"0","Ivns1abp"
0,2.45945910598662,0.698,0.129,0,"0","Plxna4"
0,2.53885128562,0.694,0.126,0,"0","Cep126"
0,2.12845159495625,0.801,0.234,0,"0","Aig1"
0,2.69227277140574,0.692,0.127,0,"0","Slc4a4"
0,2.76102267402184,0.671,0.107,0,"0","Ttll3"
0,2.74590663958456,0.668,0.105,0,"0","Ccdc39"
0,1.18613575927176,0.978,0.416,0,"0","Ebf1"
0,2.75646999063781,0.67,0.109,0,"0","Dzip1l"
0,1.83798472346257,0.801,0.242,0,"0","Ank3"
0,2.32923113291182,0.685,0.127,0,"0","Gm13648"
0,2.76566390449425,0.672,0.115,0,"0","Map1a"
0,2.01078330912571,0.811,0.256,0,"0","Cfap20"
0,2.27224866475596,0.676,0.121,0,"0","Rnf182"
0,1.92481975769652,0.941,0.387,0,"0","Hmgn3"
0,2.29350261899364,0.762,0.209,0,"0","Cbx4"
0,2.88522824250476,0.649,0.096,0,"0","Sgtb"
0,2.3855470662516,0.723,0.171,0,"0","Rp2"
0,3.5223053499701,0.618,0.068,0,"0","Mslnl"
0,2.49057284371644,0.655,0.106,0,"0","Rsph1"
0,1.96986332198515,0.902,0.355,0,"0","Selenot"
0,2.31443838990619,0.71,0.163,0,"0","Rufy2"
0,3.39248469290054,0.935,0.389,0,"0","S100a5"
0,2.40190151168121,0.718,0.173,0,"0","Exoc6b"
0,2.14687796394192,0.747,0.204,0,"0","Ptprs"
0,2.77812972991461,0.644,0.103,0,"0","Mapk10"
0,2.53410847387829,0.674,0.134,0,"0","Slc8a1"
0,1.91184120539646,0.774,0.236,0,"0","Rabgap1l"
0,2.66352974363104,0.644,0.107,0,"0","Kcna2"
0,3.02048327905006,0.619,0.082,0,"0","Kirrel2"
0,2.32904904725007,0.69,0.153,0,"0","Kcnma1"
0,3.0445501157276,0.623,0.087,0,"0","Lrrn1"
0,2.99749446660966,0.617,0.082,0,"0","Nxnl2"
0,3.06683428339914,0.62,0.086,0,"0","Kcnmb2"
0,2.19928949840776,0.715,0.181,0,"0","Cfap298"
0,1.2570572612768,0.679,0.145,0,"0","Arhgdig"
0,2.38534667293701,0.685,0.152,0,"0","Ift81"
0,2.94484326463827,0.621,0.088,0,"0","Cdkl4"
0,2.19096662374561,0.848,0.315,0,"0","Ppa1"
0,2.91194141080625,0.62,0.089,0,"0","Cend1"
0,2.77535770530724,0.62,0.089,0,"0","1700016K19Rik"
0,2.22185460764194,0.724,0.193,0,"0","Tmem63b"
0,2.69509669340132,0.62,0.091,0,"0","Riiad1"
0,3.0616722632919,0.612,0.083,0,"0","Stxbp5l"
0,1.27330539873444,0.741,0.214,0,"0","Cpe"
0,2.68425768756032,0.633,0.106,0,"0","Celf4"
0,2.95090475489045,0.617,0.09,0,"0","Syp"
0,2.62186983411715,0.638,0.112,0,"0","Srcin1"
0,2.52160654694265,0.644,0.118,0,"0","Bex2"
0,1.93193212274356,0.743,0.218,0,"0","Hspa4l"
0,2.88289027258474,0.61,0.087,0,"0","Erich3"
0,1.45161770314828,0.826,0.303,0,"0","Cebpg"
0,2.72291118185227,0.622,0.1,0,"0","Gdap1"
0,1.76938280885307,0.777,0.255,0,"0","Retreg1"
0,2.4823317810038,0.631,0.109,0,"0","Syt7"
0,2.19739735134223,0.688,0.166,0,"0","Kif3a"
0,2.36885692985545,0.614,0.093,0,"0","Dynlrb2"
0,2.15064864185929,0.717,0.196,0,"0","Rab28"
0,3.51431454572231,0.582,0.061,0,"0","Pth2"
0,1.45059340167582,0.95,0.433,0,"0","Ldhb"
0,2.38509044164331,0.668,0.152,0,"0","Kif1bp"
0,3.10671586106109,0.591,0.077,0,"0","Iqub"
0,1.69953277347028,0.841,0.329,0,"0","Rab6a"
0,2.20757968180028,0.68,0.169,0,"0","Glcci1"
0,2.92270563913161,0.6,0.089,0,"0","5730403I07Rik"
0,1.64300443676542,0.911,0.401,0,"0","Prrc2b"
0,3.13703237998215,0.582,0.073,0,"0","Ppp2r2c"
0,3.0242701010624,0.588,0.081,0,"0","BC051077"
0,2.75003150851292,0.601,0.095,0,"0","Ccdc30"
0,2.77617248444543,0.605,0.099,0,"0","Ccdc157"
0,2.48483850854027,0.627,0.122,0,"0","Mapk8ip1"
0,2.64043676338299,0.611,0.106,0,"0","Kcnb1"
0,2.33511173609637,0.634,0.129,0,"0","Srgap1"
0,1.63398599147492,0.907,0.404,0,"0","Dynll2"
0,2.80773474080131,0.591,0.088,0,"0","Iqcg"
0,2.58164050682581,0.998,0.499,0,"0","Tshz2"
0,2.91742400811103,0.582,0.086,0,"0","Glb1l2"
0,2.82087564879424,0.575,0.079,0,"0","Cfap126"
0,1.78274042553606,0.936,0.441,0,"0","Adipor1"
0,1.69840548740187,0.74,0.245,0,"0","Ccdc34"
0,2.46147485725403,0.616,0.122,0,"0","Tmem107"
0,1.45546569311679,0.809,0.316,0,"0","Auts2"
0,2.22067614464357,0.629,0.136,0,"0","Mcf2l"
0,1.97987985261431,0.69,0.198,0,"0","1500011B03Rik"
0,1.09731126903827,0.815,0.323,0,"0","Slc12a2"
0,2.6153280157257,0.599,0.108,0,"0","Btbd8"
0,1.82744067713533,0.726,0.235,0,"0","Lztfl1"
0,2.08683832372299,0.685,0.195,0,"0","Psen2"
0,1.71292921585293,0.974,0.485,0,"0","Chchd10"
0,2.03853669537328,0.636,0.148,0,"0","Limch1"
