"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mthfr",1.1640889575868e-06,0.946555181071065,1,1,0.0292523914151987
"Apoe",1.22211879717604e-06,-0.791896308651018,1,1,0.0307106232542367
"Treml2",1.25027081404155e-06,1.10739081882319,1,1,0.0314180552860501
"Cd14",1.26758175300657e-06,-0.859242027771702,1,1,0.031853061871302
"Pten",1.30559774048499e-06,-0.254957781800086,1,1,0.0328083656206473
"Serpinb6b",1.3347337556631e-06,0.575929917591194,1,1,0.033540524546058
"Timp2",1.34885283533557e-06,-0.502031365610519,1,1,0.0338953228991475
"Hmga1",1.37870911885857e-06,0.498330080370113,1,1,0.034645581447797
"Ifi205",1.46037394494245e-06,2.66983889965419,1,1,0.0366977368624589
"Qk",1.55886486415445e-06,-0.264916633618568,1,1,0.0391727151713371
"Tm2d2",1.58919860821135e-06,-0.255628031397263,1,1,0.039934971825743
"H2-T24",1.64303473034779e-06,0.906256224579056,1,1,0.0412878197389097
"Gask1b",1.70834117471175e-06,-0.411934967987994,1,1,0.0429289053793315
"Nbdy",1.74037934407224e-06,-0.299786106097917,1,1,0.0437339925371914
"Lmo2",1.79948318051167e-06,-0.275564351951123,1,1,0.0452192128430778
"Prss23",1.84006820611902e-06,-0.738262810824108,1,1,0.0462390739515647
"Fam53c",1.88166287794607e-06,0.45154187991547,1,1,0.0472843064599068
"Bmt2",1.9017127417628e-06,0.572272323425969,1,1,0.0477881394877575
"Rps20",1.91187386784625e-06,-0.345056386133874,1,1,0.0480434784251084
"Gm15448",1.96011941108681e-06,0.426022188742508,1,0.889,0.0492558406812003
"Cavin1",2.0570359354729e-06,-0.530498590162576,1,1,0.0516912560224985
"Fbxw17",2.06641317032489e-06,0.660854836512163,1,1,0.0519268965570941
"Grrp1",2.22476130340503e-06,-0.510174323659592,1,1,0.0559060267932649
"Cfap126",2.3401547904267e-06,0.433789047854823,1,0.444,0.0588057497286326
"Batf2",2.36546549599251e-06,0.814117839591908,1,0.889,0.0594417824487957
"Snx3",2.37111048161144e-06,-0.241896213254534,1,1,0.0595836352924138
"Rps23",2.43603515518729e-06,-0.303038865844032,1,1,0.0612151274147013
"Daxx",2.48387443176403e-06,1.52491384477144,1,1,0.0624172805957983
"Ccn2",2.50145520184337e-06,-0.779138319674074,1,1,0.0628590677671221
"Pmepa1",2.53816309866395e-06,-0.627186975659352,1,1,0.0637815005063263
"Txndc15",2.63402290531587e-06,-0.308903412797631,1,1,0.0661903615876825
"Slc6a6",2.70068322213433e-06,-0.444273269775786,1,1,0.0678654686890135
"G3bp1",2.79095102660539e-06,-0.170049777995949,1,1,0.0701338083475667
"Ifi204",2.79390137191803e-06,1.60600214748926,1,1,0.0702079475749282
"Rps7",2.80504332913884e-06,-0.282395132576219,1,1,0.0704879338179298
"Fhod1",2.95860945292491e-06,0.434488386141815,1,1,0.07434689694255
"Rps11",3.13773930642626e-06,-0.333892927290909,1,1,0.0788482510311855
"Fcgrt",3.16974754238544e-06,-0.322525336864341,1,1,0.0796525859926038
"Parp9",3.23868016718163e-06,0.916807684504584,1,1,0.0813847939211071
"Znfx1",3.23914313716979e-06,1.07303868332618,1,1,0.0813964278939397
"Ppp1r10",3.4050433540012e-06,-0.314044880389196,1,1,0.0855653344426962
"Slfn1",3.41719139713672e-06,2.21874151931375,1,1,0.0858706026186486
"Zup1",3.49289729311306e-06,0.896697437559431,1,1,0.0877730160786382
"Slc25a4",3.49355442921151e-06,-0.349523705149243,1,1,0.0877895292516561
"Cav2",3.67475727354152e-06,-0.501891433533379,1,1,0.0923429755268248
"Crybg1",3.82756700850642e-06,0.800221020723773,1,1,0.0961829313567578
"Tm4sf1",3.907175444923e-06,-0.632896852089367,1,1,0.0981834117554701
"Rundc3a",3.95028840894655e-06,0.501510341353716,1,0.444,0.0992667974284179
"Ptp4a3",4.18283158659438e-06,-0.389111047596387,1,1,0.10511037493953
"Batf3",4.3981309421488e-06,0.626138571170237,1,1,0.110520632445257
"Serpina3g",4.49019042781062e-06,1.90639961300251,1,1,0.112833995260453
"Marc2",4.58711255642804e-06,-0.330046855722844,1,1,0.11526955143048
"Rsad2",4.60997549540545e-06,2.49391163634396,1,1,0.115844074224044
"Cgas",5.10008608428896e-06,0.739561978192086,1,1,0.128160063212097
"Tram1",5.11615910611549e-06,-0.455778566251253,1,1,0.128563962177576
"Dpysl2",5.16537432644629e-06,-0.218940174542265,1,1,0.129800691449269
